11/02/2016 12:19:32 a.m..46 127.0.0.1	 CodeSection en 0
11/02/2016 12:24:59 a.m..88 127.0.0.1	 CodeSection en 0
11/02/2016 12:25:02 a.m..14 127.0.0.1	 CodeSection en 0
11/02/2016 12:29:22 a.m..33 127.0.0.1	 CodeSection en 0
11/02/2016 12:32:06 a.m..52 127.0.0.1	 CodeSection en 0
11/02/2016 12:35:35 a.m..98 127.0.0.1	 CodeSection en 0
11/02/2016 12:37:45 a.m..96 127.0.0.1	 CodeSection en 0
11/02/2016 12:51:30 a.m..57 127.0.0.1	 CodeSection en 0
11/02/2016 12:52:27 a.m..65 127.0.0.1	 CodeSection en 0
11/02/2016 12:53:18 a.m..19 127.0.0.1	 CodeSection en 0
11/02/2016 02:30:11 p.m..94 127.0.0.1	 CodeSection en 0
11/02/2016 03:08:27 p.m..77 127.0.0.1	 CodeSection en 0
11/02/2016 03:15:34 p.m..49 127.0.0.1	 CodeSection en 0
11/02/2016 03:15:51 p.m..32 127.0.0.1	 CodeSection en 0
11/02/2016 03:16:01 p.m..12 127.0.0.1	 CodeSection en 0
11/02/2016 03:16:12 p.m..95 127.0.0.1	 CodeSection en 0
11/02/2016 03:45:52 p.m..76 127.0.0.1	 CodeSection en 0
11/02/2016 03:47:47 p.m..59 127.0.0.1	 CodeSection en 0
11/02/2016 03:48:01 p.m..23 127.0.0.1	 CodeSection en 0
11/02/2016 03:50:04 p.m..69 127.0.0.1	 CodeSection en 0
11/02/2016 03:54:09 p.m..04 127.0.0.1	 CodeSection en 0
11/02/2016 03:56:57 p.m..09 127.0.0.1	 CodeSection en 0
11/02/2016 03:57:08 p.m..31 127.0.0.1	 CodeSection en 0
11/02/2016 04:09:00 p.m..46 127.0.0.1	 CodeSection en 0
11/02/2016 04:09:45 p.m..50 127.0.0.1	 CodeSection en 0
11/02/2016 04:13:29 p.m..36 127.0.0.1	 CodeSection en 0
11/02/2016 04:22:04 p.m..11 127.0.0.1	 CodeSection en 0
11/02/2016 05:17:42 p.m..32 127.0.0.1	 CodeSection en 0
11/02/2016 05:23:54 p.m..30 127.0.0.1	 CodeSection en 0
11/02/2016 06:20:18 p.m..36 127.0.0.1	 CodeSection en 0
11/02/2016 06:24:09 p.m..40 127.0.0.1	 CodeSection en 0
11/02/2016 06:30:39 p.m..91 127.0.0.1	 CodeSection en 0
11/02/2016 06:39:15 p.m..02 127.0.0.1	 CodeSection en 0
11/02/2016 07:15:01 p.m..66 127.0.0.1	 CodeSection en 0
11/02/2016 07:17:15 p.m..16 127.0.0.1	 CodeSection en 0
11/02/2016 07:20:47 p.m..00 127.0.0.1	 CodeSection en 0
11/02/2016 07:21:53 p.m..30 127.0.0.1	 CodeSection en 0
11/02/2016 07:22:29 p.m..59 127.0.0.1	 CodeSection en 0
11/02/2016 07:26:05 p.m..51 127.0.0.1	 CodeSection en 0
11/02/2016 07:39:13 p.m..52 127.0.0.1	 CodeSection en 0
11/02/2016 11:37:16 p.m..07 127.0.0.1	 CodeSection en 0
11/02/2016 11:39:40 p.m..09 127.0.0.1	 CodeSection en 0
11/02/2016 11:43:23 p.m..75 127.0.0.1	 CodeSection en 0
11/02/2016 11:48:18 p.m..70 127.0.0.1	 CodeSection en 0
11/02/2016 11:54:22 p.m..90 127.0.0.1	 CodeSection en 0
11/02/2016 11:58:17 p.m..41 127.0.0.1	 CodeSection en 0
12/02/2016 12:00:09 a.m..91 127.0.0.1	 CodeSection en 0
12/02/2016 12:21:48 a.m..95 127.0.0.1	 CodeSection en 0
12/02/2016 12:25:11 a.m..40 127.0.0.1	 CodeSection en 0
12/02/2016 12:26:09 a.m..24 127.0.0.1	 CodeSection en 0
12/02/2016 12:31:43 a.m..22 127.0.0.1	 CodeSection en 0
12/02/2016 02:31:11 a.m..66 127.0.0.1	 CodeSection en 0
12/02/2016 02:34:38 a.m..45 127.0.0.1	 CodeSection en 0
12/02/2016 02:40:55 a.m..44 127.0.0.1	 CodeSection en 0
12/02/2016 02:44:14 a.m..60 127.0.0.1	 CodeSection en 0
12/02/2016 02:49:30 a.m..51 127.0.0.1	 CodeSection en 0
12/02/2016 02:54:36 a.m..57 127.0.0.1	 CodeSection en 0
12/02/2016 05:03:31 p.m..25 127.0.0.1	 CodeSection en 0
12/02/2016 05:03:43 p.m..92 127.0.0.1	 CodeSection en 0
12/02/2016 05:16:17 p.m..07 127.0.0.1	 CodeSection en 0
12/02/2016 05:16:20 p.m..29 127.0.0.1	 CodeSection en 0
12/02/2016 05:17:58 p.m..58 127.0.0.1	 CodeSection en 0
12/02/2016 05:41:14 p.m..68 127.0.0.1	 CodeSection en 0
12/02/2016 05:41:17 p.m..46 127.0.0.1	 CodeSection en 0
12/02/2016 05:42:46 p.m..34 127.0.0.1	 CodeSection en 0
12/02/2016 05:42:48 p.m..58 127.0.0.1	 CodeSection en 0
12/02/2016 05:45:18 p.m..90 127.0.0.1	 CodeSection en 0
12/02/2016 05:51:38 p.m..18 127.0.0.1	 CodeSection en 0
12/02/2016 05:51:50 p.m..26 127.0.0.1	 CodeSection en 0
12/02/2016 05:56:34 p.m..11 127.0.0.1	 CodeSection en 0
12/02/2016 05:56:37 p.m..26 127.0.0.1	 CodeSection en 0
12/02/2016 06:23:59 p.m..42 127.0.0.1	 CodeSection en 0
12/02/2016 06:25:46 p.m..96 127.0.0.1	 CodeSection en 0
12/02/2016 06:35:27 p.m..16 127.0.0.1	 CodeSection en 0
